１６年分,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2006/7/1,×,60%,空振り,空振り,空振り,雲海は4:30で消滅,,,,,
2006/7/2,△,70%,適中,適中,適中,5:30で消滅,,,,,
2006/7/3,○,40%,適中,見逃し,見逃し,雲海BEST,,,,,
2006/7/4,○,80%,適中,適中,適中,雲海BEST,,,,,
2006/7/5,○,70%,適中,適中,適中,雲海BEST,,,,,
2006/7/6,×,60%,空振り,空振り,空振り,4:00に出現、その後雲中,,,,,
2006/7/7,○,20%,見逃し,見逃し,見逃し,雲海出現、雨で中止,,,,,
2006/7/8,○,60%,適中,適中,適中,雲海BEST、雨あがり,,,,,
2006/7/9,△,80%,適中,適中,適中,霧発生、8:00以降で雲海出現,,,,,
2006/7/10,×,90%,空振り,空振り,空振り,霧の中,,,,,
2006/7/11,○,60%,適中,適中,適中,幻想的雲海出現5:00～7:00,,,,,
2006/7/12,×,30%,適中なし,適中なし,適中なし,中止,,,,,
2006/7/13,△,70%,適中,適中,適中,霧、7:00頃エリア内見え出す,,,,,
2006/7/14,×,50%,空振り,空振り,適中なし,霧、朝一多少あり,,,,,
2006/7/15,×,40%,空振り,適中なし,適中なし,霧、気球中止のせいか客は多い,,,,,
2006/7/16,×,50%,空振り,空振り,適中なし,霧、気球中止のせいか客は多い,,,,,
2006/7/17,○,40%,適中,見逃し,見逃し,雲海最高だが7:20頃霧の中,,,,,
2006/7/18,×,50%,空振り,空振り,適中なし,中止,,,,,
2006/7/19,×,70%,空振り,空振り,空振り,霧,,,,,
2006/7/20,△,70%,適中,適中,適中,雲海出現、6:30頃霧になる,,,,,
2006/7/21,○,80%,適中,適中,適中,雲海出現、6:30頃霧になる、その後また出現,,,,,
2006/7/22,×,50%,空振り,空振り,適中なし,霧のため6:20で中止、テーブルが濡れるため,,,,,
2006/7/23,△,70%,適中,適中,適中,雲海は6:00で消滅,,,,,
2006/7/24,×,70%,空振り,空振り,空振り,中止,,,,,
2006/7/25,×,50%,空振り,空振り,適中なし,霧から雨,,,,,
2006/7/26,×,70%,空振り,空振り,空振り,晴れ、エリア内がみえる,,,,,
2006/7/27,△,70%,適中,適中,適中,雲海は6:00で消滅,,,,,
2006/7/28,△,80%,適中,適中,適中,雲海は6:00で消滅,,,,,
2006/7/29,○,80%,適中,適中,適中,雲海BEST,,,,,
2006/7/30,×,80%,空振り,空振り,空振り,霧,,,,,
2006/7/31,○,80%,適中,適中,適中,6:30まで雲海BEST、以降霧,,,,,
2006/8/1,○,90%,適中,適中,適中,雲海BEST,,,,,
2006/8/2,○,80%,適中,適中,適中,串内からの流れ雲海,,,,,
2006/8/3,×,90%,空振り,空振り,空振り,中止,,,,,
2006/8/4,×,40%,空振り,適中なし,適中なし,雲中,,,,,
2006/8/5,×,50%,空振り,空振り,適中なし,霧、時々晴れ,,,,,
2006/8/6,×,60%,空振り,空振り,空振り,快晴,,,,,
2006/8/7,×,60%,空振り,空振り,空振り,快晴,,,,,
2006/8/8,×,50%,空振り,空振り,適中なし,快晴,,,,,
2006/8/9,△,50%,適中,適中,見逃し,下部に雲海　　もやがある,,,,,
2006/8/10,○,60%,適中,適中,適中,雲海出現、朝一より6:00以降がBEST,,,,,
2006/8/11,×,30%,適中なし,適中なし,適中なし,霧雨、中止,,,,,
2006/8/12,×,30%,適中なし,適中なし,適中なし,霧雨、中止,,,,,
2006/8/13,○,60%,適中,適中,適中,雲海BEST,,,,,
2006/8/14,○,90%,適中,適中,適中,雲海BEST、8:00以降もあり,,,,,
2006/8/15,○,60%,空振り,空振り,空振り,雲海BEST,,,,,
2006/8/16,×,50%,空振り,空振り,空振り,中止、短時間出現,,,,,
2006/8/17,×,60%,空振り,空振り,適中なし,中止,,,,,
2006/8/18,×,30%,適中なし,適中なし,適中なし,中止,,,,,
