2009年,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2009/6/20,有り,50%,適中,適中,見逃し,十勝上空は雲海出る。,,,,,
2009/6/21,無し,50%,空振り,空振り,適中なし,ガスの中、視界50m。,,,,,
2009/6/22,無し,60%,空振り,空振り,空振り,ガスの中、視界30m。,,,,,
2009/6/23,無し,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/6/24,無し,50%,空振り,空振り,適中なし,ガスの中、視界50～100m。,,,,,
2009/6/25,無し,60%,空振り,空振り,空振り,見晴らし良し。,,,,,
2009/6/26,無し,50%,空振り,空振り,適中なし,朝日がきれいでした。,,,,,
2009/6/27,無し,50%,空振り,空振り,適中なし,ガスの中、視界30m　のち晴れ。,,,,,
2009/6/28,無し,80%,空振り,空振り,空振り,狩勝峠雲海有り。,,,,,
2009/6/29,無し,50%,空振り,空振り,適中なし,周囲の山は少しかすんで見えた。,,,,,
2009/6/30,有り,60%,適中,適中,適中,AM5:30～6:00ごろ視界あけて、雲海出るがその後ガスの中。,,,,,
2009/7/1,無,50%,空振り,空振り,適中なし,霧雨の為中止,,,,,
2009/7/2,有,40%,適中,見逃し,見逃し,AM4:30視界なし３０ｍ　AM8:30頃雲海発生,,,,,
2009/7/3,無,50%,空振り,空振り,適中なし,雨の為中止,,,,,
2009/7/4,有,50%,適中,適中,適中なし,朝雲の中AM5:30～5:45、雲海出る。その後見えたりガスったりでした。3度発生確認,,,,,
2009/7/5,無,60%,空振り,空振り,空振り,営業中雲の中、終了前に山麓見えた。（7:30頃から）,,,,,
2009/7/6,無,40%,空振り,適中なし,適中なし,営業中雲の中。6:30ごろより山麓見えだす。,,,,,
2009/7/7,無,50%,空振り,空振り,適中なし,AM5:00より視界良、雲海は出なかった。,,,,,
2009/7/8,有,50%,適中,適中,見逃し,東の空雲海有り（少し）。狩振、オダッシュ山見える。雨でAM中止。,,,,,
2009/7/9,無,50%,空振り,空振り,適中なし,雲の中AM8:00前山麓見えだす。,,,,,
2009/7/10,無,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/7/11,有,50%,適中,適中,見逃し,低い雲海有り,,,,,
2009/7/12,有,60%,適中,適中,適中,雲の中AM5:00低い雲海発生。AM6:30雲海消える。,,,,,
2009/7/13,有,50%,適中,適中,見逃し,朝雲海出てた。営業始まると雲の中見え隠れ、のち雨。6:30営業中止,,,,,
2009/7/14,無,30%,適中なし,適中なし,適中なし,雲の中AM6:30すぎより下界見え出す。,,,,,
2009/7/15,無,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/7/16,無,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/7/17,有,50%,適中,適中,見逃し,きれいな雲海発生したが4:30雲中になるとその後は6:30に発生。,,,,,
2009/7/18,有,50%,適中,適中,見逃し,くもり空で営業中雲海でした。AM8:00より小雨。,,,,,
2009/7/19,無,40%,空振り,適中なし,適中なし,雨で中止。,,,,,
2009/7/20,無,40%,空振り,適中なし,適中なし,営業中雲の中でした。,,,,,
2009/7/21,有,50%,適中,適中,見逃し,営業中雲の中、AM8:00すぎ西側に雲海見えてきた。,,,,,
2009/7/22,無,50%,空振り,空振り,適中なし,雨で中止。,,,,,
2009/7/23,無,60%,空振り,空振り,空振り,雨で中止。,,,,,
2009/7/24,有,50%,適中,適中,見逃し,朝きれいでした。その後、雲が出て見えたり見えなかったり。,,,,,
2009/7/25,無,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/7/26,有,50%,適中,適中,見逃し,雲海きれい。AM6:30頃より雲海出る。視界５０ｍ,,,,,
2009/7/27,有,40%,適中,見逃し,見逃し,AM5:30～見えたり見えなかったり。AM8:00頃～雲海発生。,,,,,
2009/7/28,無,40%,空振り,適中なし,適中なし,雨で中止,,,,,
