日付,出現,確率,閾値40,閾値50,閾値60
2012/6/1,0,60,空振り,空振り,空振り
2012/6/2,1,50,適中,適中,見逃し
2012/6/3,1,60,適中,適中,適中
2012/6/4,1,70,適中,適中,適中
2012/6/5,0,50,空振り,空振り,適中
2012/6/6,0,50,空振り,空振り,適中
2012/6/7,1,40,適中,見逃し,見逃し
2012/6/8,1,40,適中,見逃し,見逃し
2012/6/9,0,50,空振り,空振り,適中
2012/6/10,1,50,適中,適中,見逃し
2012/6/11,0,50,空振り,空振り,適中
2012/6/12,0,40,空振り,適中,適中
2012/6/13,0,50,空振り,空振り,適中
2012/6/14,1,50,適中,適中,見逃し
2012/6/15,1,60,適中,適中,適中
2012/6/16,1,70,適中,適中,適中
2012/6/17,0,50,空振り,空振り,適中
2012/6/18,0,50,空振り,空振り,適中
2012/6/19,1,40,適中,見逃し,見逃し
2012/6/20,0,30,適中,適中,適中
2012/6/21,0,30,適中,適中,適中
2012/6/22,0,40,空振り,適中,適中
2012/6/23,0,40,空振り,適中,適中
2012/6/24,1,60,適中,適中,適中
2012/6/25,1,60,適中,適中,適中
2012/6/26,0,60,空振り,空振り,空振り
2012/6/27,1,60,適中,適中,適中
2012/6/28,0,40,空振り,適中,適中
2012/6/29,0,40,空振り,適中,適中
2012/6/30,0,40,空振り,適中,適中
2013/6/1,0,40,空振り,適中,適中
2013/6/2,1,60,適中,適中,適中
2013/6/3,0,60,空振り,空振り,空振り
2013/6/4,1,60,適中,適中,適中
2013/6/5,1,60,適中,適中,適中
2013/6/6,1,60,適中,適中,適中
2013/6/7,1,60,適中,適中,適中
2013/6/8,1,60,適中,適中,適中
2013/6/9,1,70,適中,適中,適中
2013/6/10,0,60,空振り,空振り,空振り
2013/6/11,1,40,適中,見逃し,見逃し
2013/6/12,1,70,適中,適中,適中
2013/6/13,1,60,適中,適中,適中
2013/6/14,1,40,適中,見逃し,見逃し
2013/6/15,0,40,空振り,適中,適中
2013/6/16,1,60,適中,適中,適中
2013/6/17,1,40,適中,見逃し,見逃し
2013/6/18,0,30,適中,適中,適中
2013/6/19,0,40,空振り,適中,適中
2013/6/20,0,40,空振り,適中,適中
2013/6/21,1,40,適中,見逃し,見逃し
2013/6/22,0,60,空振り,空振り,空振り
2013/6/23,1,60,適中,適中,適中
2013/6/24,0,60,空振り,空振り,空振り
2013/6/25,0,60,空振り,空振り,空振り
2013/6/26,1,60,適中,適中,適中
2013/6/27,,,,,
2013/6/28,1,60,適中,適中,適中
2013/6/29,1,70,適中,適中,適中
2013/6/30,1,60,適中,適中,適中
2014/6/1,0,40,空振り,適中,適中
2014/6/2,0,52,空振り,空振り,適中
2014/6/3,0,39,適中,適中,適中
2014/6/4,0,53,空振り,空振り,適中
2014/6/5,0,59,空振り,空振り,適中
2014/6/6,1,41,適中,見逃し,見逃し
2014/6/7,1,53,適中,適中,見逃し
2014/6/8,1,48,適中,見逃し,見逃し
2014/6/9,1,43,適中,見逃し,見逃し
2014/6/10,1,48,適中,見逃し,見逃し
2014/6/11,1,40,適中,見逃し,見逃し
2014/6/12,1,40,適中,見逃し,見逃し
2014/6/13,0,30,適中,適中,適中
2014/6/14,0,40,空振り,適中,適中
2014/6/15,0,40,空振り,適中,適中
2014/6/16,0,40,空振り,適中,適中
2014/6/17,0,60,空振り,空振り,空振り
2014/6/18,1,40,適中,見逃し,見逃し
2014/6/19,1,50,適中,適中,見逃し
2014/6/20,1,40,適中,見逃し,見逃し
2014/6/21,0,60,空振り,空振り,空振り
2014/6/22,1,50,適中,適中,見逃し
2014/6/23,1,50,適中,適中,見逃し
2014/6/24,1,50,適中,適中,見逃し
2014/6/25,1,60,適中,適中,適中
2014/6/26,1,50,適中,適中,見逃し
2014/6/27,1,60,適中,適中,適中
2014/6/28,1,60,適中,適中,適中
2014/6/29,0,50,空振り,空振り,適中
2014/6/30,0,40,空振り,適中,適中
2015/6/1,0,30,適中,適中,適中
2015/6/2,0,20,適中,適中,適中
2015/6/3,0,30,適中,適中,適中
2015/6/4,0,20,適中,適中,適中
2015/6/5,0,20,適中,適中,適中
2015/6/6,1,40,適中,見逃し,見逃し
2015/6/7,0,30,適中,適中,適中
2015/6/8,0,40,空振り,適中,適中
2015/6/9,0,40,空振り,適中,適中
2015/6/10,0,20,適中,適中,適中
2015/6/11,0,30,適中,適中,適中
2015/6/12,1,50,適中,適中,見逃し
2015/6/13,1,20,見逃し,見逃し,見逃し
2015/6/14,0,30,適中,適中,適中
2015/6/15,0,30,適中,適中,適中
2015/6/16,1,40,適中,適中,適中
2015/6/17,1,50,適中,適中,見逃し
2015/6/18,1,60,適中,適中,適中
2015/6/19,1,40,適中,見逃し,見逃し
2015/6/20,1,30,見逃し,見逃し,見逃し
2015/6/21,1,30,見逃し,見逃し,見逃し
2015/6/22,0,30,適中,適中,適中
2015/6/23,0,30,適中,適中,適中
2015/6/24,0,30,適中,適中,適中
2015/6/25,0,30,適中,適中,適中
2015/6/26,1,30,見逃し,見逃し,見逃し
2015/6/27,0,30,適中,適中,適中
2015/6/28,0,20,適中,適中,適中
2015/6/29,0,50,空振り,空振り,適中
2015/6/30,0,30,適中,適中,適中
2016/6/1,1,20,見逃し,見逃し,見逃し
2016/6/2,0,,,,
2016/6/3,0,30,適中,適中,適中
2016/6/4,0,30,適中,適中,適中
2016/6/5,0,30,適中,適中,適中
2016/6/6,1,30,見逃し,見逃し,見逃し
2016/6/7,0,30,適中,適中,適中
2016/6/8,0,30,適中,適中,適中
2016/6/9,0,30,適中,適中,適中
2016/6/10,0,30,適中,適中,適中
2016/6/11,0,20,適中,適中,適中
2016/6/12,1,40,適中,見逃し,見逃し
2016/6/13,0,40,空振り,適中,適中
2016/6/14,0,20,適中,適中,適中
2016/6/15,1,30,見逃し,見逃し,見逃し
2016/6/16,0,40,空振り,適中,適中
2016/6/17,0,20,適中,適中,適中
2016/6/18,0,30,適中,適中,適中
2016/6/19,1,30,見逃し,見逃し,見逃し
2016/6/20,0,30,適中,適中,適中
2016/6/21,0,30,適中,適中,適中
2016/6/22,0,50,空振り,空振り,適中
2016/6/23,0,40,空振り,適中,適中
2016/6/24,1,30,見逃し,見逃し,見逃し
2016/6/25,0,30,適中,適中,適中
2016/6/26,0,20,適中,適中,適中
2016/6/27,1,40,適中,見逃し,見逃し
