2020年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2020/7/1,1,20,見逃し,見逃し,見逃し
2020/7/2,1,20,見逃し,見逃し,見逃し
2020/7/3,1,40,適中,見逃し,見逃し
2020/7/4,1,40,適中,見逃し,見逃し
2020/7/5,1,30,見逃し,見逃し,見逃し
2020/7/6,1,50,適中,適中,見逃し
2020/7/7,0,30,適中なし,適中なし,適中なし
2020/7/8,0,20,適中なし,適中なし,適中なし
2020/7/9,0,30,適中なし,適中なし,適中なし
2020/7/10,0,50,空振り,空振り,適中なし
2020/7/11,0,30,適中なし,適中なし,適中なし
2020/7/12,0,30,適中なし,適中なし,適中なし
2020/7/13,0,30,適中なし,適中なし,適中なし
2020/7/14,1,30,見逃し,見逃し,見逃し
2020/7/15,0,40,空振り,適中なし,適中なし
2020/7/16,1,30,見逃し,見逃し,見逃し
2020/7/17,1,30,見逃し,見逃し,見逃し
2020/7/18,1,60,適中,適中,適中
2020/7/19,1,50,適中,適中,見逃し
2020/7/20,1,40,適中,見逃し,見逃し
2020/7/21,1,50,適中,適中,見逃し
2020/7/22,0,20,適中なし,適中なし,適中なし
2020/7/23,0,20,適中なし,適中なし,適中なし
2020/7/24,1,20,見逃し,見逃し,見逃し
2020/7/25,0,50,空振り,空振り,適中なし
2020/7/26,1,40,適中,見逃し,見逃し
2020/7/27,1,20,見逃し,見逃し,見逃し
2020/7/28,1,30,見逃し,見逃し,見逃し
2020/7/29,1,30,見逃し,見逃し,見逃し
2020/7/30,1,40,適中,見逃し,見逃し
2020/7/31,1,50,適中,適中,見逃し
2020/8/1,0,50,空振り,空振り,適中なし
2020/8/2,1,40,適中,見逃し,見逃し
2020/8/3,1,60,適中,適中,適中
2020/8/4,0,30,適中なし,適中なし,適中なし
2020/8/5,0,50,空振り,空振り,適中なし
2020/8/6,0,20,適中なし,適中なし,適中なし
2020/8/7,0,40,空振り,適中なし,適中なし
2020/8/8,0,50,空振り,空振り,適中なし
2020/8/9,1,70,適中,適中,適中
2020/8/10,0,20,適中なし,適中なし,適中なし
2020/8/11,0,20,適中なし,適中なし,適中なし
2020/8/12,0,30,適中なし,適中なし,適中なし
2020/8/13,0,30,適中なし,適中なし,適中なし
2020/8/14,1,50,適中,適中,見逃し
2020/8/15,0,20,適中なし,適中なし,適中なし
2020/8/16,0,50,空振り,空振り,適中なし
2020/8/17,0,30,適中なし,適中なし,適中なし
2020/8/18,1,50,適中,適中,見逃し
2020/8/19,0,30,適中なし,適中なし,適中なし
2020/8/20,0,20,適中なし,適中なし,適中なし
2020/8/21,1,40,適中,見逃し,見逃し
2020/8/22,1,60,適中,適中,適中
2020/8/23,1,50,適中,適中,見逃し
2020/8/24,1,60,適中,適中,適中
2020/8/25,1,50,適中,適中,見逃し
2020/8/26,0,50,空振り,空振り,適中なし
2020/8/27,1,50,適中,適中,見逃し
2020/8/28,1,50,適中,適中,見逃し
2020/8/29,0,30,適中なし,適中なし,適中なし
2020/8/30,0,20,適中なし,適中なし,適中なし
2020/8/31,0,20,適中なし,適中なし,適中なし
2020/9/1,0,30,適中なし,適中なし,適中なし
2020/9/2,0,50,空振り,空振り,適中なし
2020/9/3,0,20,適中なし,適中なし,適中なし
2020/9/4,1,20,見逃し,見逃し,見逃し
2020/9/5,0,,,,
2020/9/6,1,40,適中,見逃し,見逃し
2020/9/7,1,20,見逃し,見逃し,見逃し
2020/9/8,1,40,適中,見逃し,見逃し
2020/9/9,0,20,適中なし,適中なし,適中なし
2020/9/10,0,30,適中なし,適中なし,適中なし
2020/9/11,1,30,見逃し,見逃し,見逃し
2020/9/12,0,30,適中なし,適中なし,適中なし
2020/9/13,0,30,適中なし,適中なし,適中なし
2020/9/14,0,20,適中なし,適中なし,適中なし
2020/9/15,0,20,適中なし,適中なし,適中なし
2020/9/16,1,20,見逃し,見逃し,見逃し
2020/9/17,1,30,見逃し,見逃し,見逃し
2020/9/18,0,20,適中なし,適中なし,適中なし
2020/9/19,0,30,適中なし,適中なし,適中なし
2020/9/20,1,40,適中,見逃し,見逃し
2020/9/21,0,40,空振り,適中なし,適中なし
2020/9/22,1,30,見逃し,見逃し,見逃し
2020/9/23,0,50,空振り,空振り,適中なし
2020/9/24,0,40,空振り,適中なし,適中なし
2020/9/25,0,50,空振り,空振り,適中なし
2020/9/26,0,20,適中なし,適中なし,適中なし
2020/9/27,1,20,見逃し,見逃し,見逃し
2020/9/28,0,40,空振り,適中なし,適中なし
2020/9/29,0,40,空振り,適中なし,適中なし
2020/9/30,1,40,適中,見逃し,見逃し
2020/10/1,1,30,見逃し,見逃し,見逃し
2020/10/2,1,40,適中,見逃し,見逃し
2020/10/3,1,20,見逃し,見逃し,見逃し
2020/10/4,0,50,空振り,空振り,適中なし
2020/10/5,0,20,適中なし,適中なし,適中なし
2020/10/6,0,30,適中なし,適中なし,適中なし
2020/10/7,0,50,空振り,空振り,適中なし
2020/10/8,0,30,適中なし,適中なし,適中なし
2020/10/9,0,30,適中なし,適中なし,適中なし
2020/10/10,0,30,適中なし,適中なし,適中なし
2020/10/11,0,40,空振り,適中なし,適中なし
2020/10/12,1,40,適中,適中,適中
2020/10/13,0,30,適中なし,適中なし,適中なし
2020/10/14,1,50,適中,適中,見逃し
