日付,出現,確率,閾値40,閾値50,閾値60
2012/10/1,,30,,,
2012/10/2,1,60,適中,適中,適中
2012/10/3,1,60,適中,適中,適中
2012/10/4,0,60,空振り,空振り,空振り
2012/10/5,1,60,適中,適中,適中
2012/10/6,0,50,空振り,空振り,空振り
2012/10/7,1,60,適中,適中,適中
2012/10/8,1,50,適中,適中,見逃し
2012/10/9,1,60,適中,適中,適中
2013/10/1,0,40,空振り,適中,適中
2013/10/2,1,50,適中,適中,見逃し
2013/10/3,0,40,空振り,適中,適中
2013/10/4,,30,,,
2013/10/5,0,50,空振り,空振り,適中
2013/10/6,0,40,空振り,適中,適中
2013/10/7,1,50,適中,適中,見逃し
2013/10/8,1,40,適中,見逃し,見逃し
2013/10/9,0,40,空振り,適中,適中
2013/10/10,1,50,適中,適中,見逃し
2013/10/11,1,50,適中,適中,見逃し
2013/10/12,,30,,,
2013/10/13,,40,,,
2013/10/14,1,50,適中,適中,見逃し
2013/10/15,,30,,,
2013/10/16,,30,,,
2013/10/17,,0,,,
2013/10/18,,0,,,
2013/10/19,1,40,適中,見逃し,見逃し
2013/10/20,0,50,空振り,空振り,適中
2013/10/21,0,40,空振り,適中,適中
2013/10/22,0,50,空振り,空振り,適中
2013/10/23,0,50,空振り,空振り,適中
2013/10/24,1,50,適中,適中,見逃し
2013/10/25,,0,,,
2013/10/26,0,30,適中,適中,適中
2013/10/27,0,40,空振り,適中,適中
2013/10/28,0,50,空振り,空振り,適中
2014/10/1,0,60,空振り,空振り,空振り
2014/10/2,0,50,空振り,空振り,適中
2014/10/3,0,30,適中,適中,適中
2014/10/4,0,30,適中,適中,適中
2014/10/5,0,60,空振り,空振り,空振り
2014/10/6,0,40,空振り,適中,適中
2014/10/7,1,50,適中,適中,見逃し
2014/10/8,0,40,空振り,適中,適中
2014/10/9,1,50,適中,適中,見逃し
2014/10/10,,30,,,
2014/10/11,,50,,,
2014/10/12,1,50,適中,適中,見逃し
2014/10/13,0,50,空振り,空振り,適中
2014/10/14,,40,,,
2014/10/15,,50,,,
2014/10/16,,40,,,
2014/10/17,,30,,,
2014/10/18,0,40,空振り,適中,適中
2014/10/19,0,60,空振り,空振り,空振り
2014/10/20,0,40,空振り,適中,適中
2014/10/21,,30,,,
2014/10/22,,40,,,
2014/10/23,0,40,空振り,適中,適中
2014/10/24,0,30,適中,適中,適中
2014/10/25,0,50,空振り,空振り,適中
2014/10/26,,40,,,
2014/10/27,0,40,空振り,適中,適中
2015/10/1,0,40,空振り,適中,適中
2015/10/2,,0,,,
2015/10/3,,0,,,
2015/10/4,0,40,空振り,適中,適中
2015/10/5,0,40,空振り,適中,適中
2015/10/6,1,40,適中,見逃し,適中
2015/10/7,0,40,空振り,適中,適中
2015/10/8,,30,,,
2015/10/9,,20,,,
2015/10/10,,30,,,
2015/10/11,0,60,空振り,空振り,空振り
2015/10/12,,0,,,
2015/10/13,0,30,適中,適中,適中
2016/10/1,0,30,適中,適中,適中
2016/10/2,0,30,適中,適中,適中
2016/10/3,0,20,適中,適中,適中
2016/10/4,0,,,,
2016/10/5,0,30,適中,適中,適中
2016/10/6,0,,,,
2016/10/7,0,20,適中,適中,適中
2016/10/8,0,20,適中,適中,適中
2016/10/9,0,30,適中,適中,適中
2016/10/10,0,20,適中,適中,適中
2016/10/11,0,20,適中,適中,適中
2016/10/12,0,20,適中,適中,適中
2016/10/13,0,20,適中,適中,適中
2016/10/14,0,30,適中,適中,適中
2016/10/15,0,20,適中,適中,適中
2016/10/16,0,30,適中,適中,適中
2016/10/17,0,30,適中,適中,適中
2017/10/1,0,30,適中,適中,適中
2017/10/2,0,20,適中,適中,適中
2017/10/3,0,30,適中,適中,適中
2017/10/4,0,30,適中,適中,適中
2017/10/5,0,30,適中,適中,適中
2017/10/6,0,40,空振り,適中,適中
2017/10/7,1,40,適中,見逃し,見逃し
2017/10/8,1,40,適中,見逃し,見逃し
2017/10/9,1,40,適中,見逃し,見逃し
2017/10/10,0,30,適中,適中,適中
2017/10/11,0,20,適中,適中,適中
2017/10/12,0,20,適中,適中,適中
2017/10/13,0,40,空振り,適中,適中
2017/10/14,0,30,適中,適中,適中
2017/10/15,0,50,空振り,空振り,適中
2017/10/16,0,30,適中,適中,適中
2018/10/1,0,20,適中,適中,適中
2018/10/2,0,20,適中,適中,適中
2018/10/3,0,50,空振り,空振り,適中
2018/10/4,1,30,見逃し,見逃し,見逃し
2018/10/5,0,30,適中,適中,適中
2018/10/6,0,30,適中,適中,適中
2018/10/7,0,20,適中,適中,適中
2018/10/8,0,40,空振り,適中,適中
2018/10/9,1,40,適中,見逃し,見逃し
2018/10/10,0,30,適中,適中,適中
2018/10/11,0,20,適中,適中,適中
2018/10/12,1,20,見逃し,見逃し,見逃し
2018/10/13,0,40,空振り,適中,適中
2018/10/14,1,40,適中,見逃し,見逃し
2018/10/15,0,30,適中,適中,適中
2019/10/1,1,20,見逃し,見逃し,見逃し
2019/10/2,1,40,適中,見逃し,見逃し
2019/10/3,1,30,見逃し,見逃し,見逃し
2019/10/4,0,20,適中,適中,適中
2019/10/5,1,20,見逃し,見逃し,見逃し
2019/10/6,1,60,適中,適中,適中
2019/10/7,0,40,空振り,適中,適中
2019/10/8,0,20,適中,適中,適中
2019/10/9,0,30,適中,適中,適中
2019/10/10,0,50,空振り,空振り,適中
2019/10/11,0,40,空振り,適中,適中
2019/10/12,0,30,適中,適中,適中
2019/10/13,0,20,適中,適中,適中
2019/10/14,0,50,空振り,空振り,適中
2020/10/1,1,30,見逃し,見逃し,見逃し
2020/10/2,1,40,適中,見逃し,見逃し
2020/10/3,1,20,見逃し,見逃し,見逃し
2020/10/4,0,50,空振り,空振り,適中
2020/10/5,0,20,適中,適中,適中
2020/10/6,0,30,適中,適中,適中
2020/10/7,0,50,空振り,空振り,適中
2020/10/8,0,30,適中,適中,適中
2020/10/9,0,30,適中,適中,適中
2020/10/10,0,30,適中,適中,適中
2020/10/11,0,40,空振り,適中,適中
2020/10/12,1,40,適中,適中,適中
2020/10/13,0,30,適中,適中,適中
2020/10/14,1,50,適中,適中,見逃し
