2008年,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2008/6/19,無し,40%,空振り,適中なし,適中なし,快晴　4時頃低い雲海,,,,,
2008/6/20,無し,20%,適中なし,適中なし,適中なし,雨　営業中止　雲中,,,,,
2008/6/21,無し,40%,空振り,適中なし,適中なし,曇り,,,,,
2008/6/22,無し,40%,空振り,適中なし,適中なし,営業中曇り　寒い日でした,,,,,
2008/6/23,無し,30%,適中なし,適中なし,適中なし,登山道上がれば雲海見えた,,,,,
2008/6/24,無し,30%,適中なし,適中なし,適中なし,雨　営業中止,,,,,
2008/6/25,無し,30%,適中なし,適中なし,適中なし,曇りのち晴れ,,,,,
2008/6/26,有り,40%,適中,見逃し,見逃し,低い雲海発生,,,,,
2008/6/27,有り,50%,適中,適中,見逃し,雲海発生　7:30頃より消えていく,,,,,
2008/6/28,有り,60%,適中,適中,適中,遠くの方に小さい雲海　6:00頃から消える,,,,,
2008/6/29,有り,60%,適中,適中,適中,うすい流動的な雲海（低い）　小雨あり,,,,,
2008/6/30,有り,60%,適中,適中,適中,雲海発生　ときどき視界不良になる,,,,,
2008/7/1,有り,70%,適中,適中,適中,雲海発生したが雲中になる,,,,,
2008/7/2,有り,60%,適中,適中,適中,低い雲海後消滅,,,,,
2008/7/3,有り,50%,適中,適中,見逃し,低い雲海、６：００過ぎに消滅,,,,,
2008/7/4,無し,30%,適中なし,適中なし,適中なし,雨で中止、雲中,,,,,
2008/7/5,無し,30%,適中なし,適中なし,適中なし,雨で中止、雲中,,,,,
2008/7/6,無し,40%,空振り,適中なし,適中なし,上空晴れだが、視界があまり無し,,,,,
2008/7/7,有り,30%,見逃し,見逃し,見逃し,雲海発生したが、狩振岳がかすんで見える,,,,,
2008/7/8,無し,50%,空振り,空振り,適中なし,雲中、視界悪し,,,,,
2008/7/9,有り,40%,適中,見逃し,見逃し,雲中後６：００から視界が良くなり、第４山頂が見える薄い雲海、７：００消滅,,,,,
2008/7/10,有り,50%,適中,適中,見逃し,低い雲海７：００で消滅,,,,,
2008/7/11,有り,40%,適中,見逃し,見逃し,雨で中止,,,,,
2008/7/12,無し,50%,空振り,空振り,適中なし,雨で中止、雲中,,,,,
2008/7/13,有り,50%,適中,適中,見逃し,十勝方面雲海、トマム地区は低い雲海,,,,,
2008/7/14,無し,40%,空振り,適中なし,適中なし,快晴,,,,,
