2012年,,,,,
日付,出現,確率,閾値40,閾値50,閾値60
2012/6/1,0,60,空振り,空振り,空振り
2012/6/2,1,50,適中,適中,見逃し
2012/6/3,1,60,適中,適中,適中
2012/6/4,1,70,適中,適中,適中
2012/6/5,0,50,空振り,空振り,適中
2012/6/6,0,50,空振り,空振り,適中
2012/6/7,1,40,適中,見逃し,見逃し
2012/6/8,1,40,適中,見逃し,見逃し
2012/6/9,0,50,空振り,空振り,適中
2012/6/10,1,50,適中,適中,見逃し
2012/6/11,0,50,空振り,空振り,適中
2012/6/12,0,40,空振り,適中,適中
2012/6/13,0,50,空振り,空振り,適中
2012/6/14,1,50,適中,適中,見逃し
2012/6/15,1,60,適中,適中,適中
2012/6/16,1,70,適中,適中,適中
2012/6/17,0,50,空振り,空振り,適中
2012/6/18,0,50,空振り,空振り,適中
2012/6/19,1,40,適中,見逃し,見逃し
2012/6/20,0,30,適中,適中,適中
2012/6/21,0,30,適中,適中,適中
2012/6/22,0,40,空振り,適中,適中
2012/6/23,0,40,空振り,適中,適中
2012/6/24,1,60,適中,適中,適中
2012/6/25,1,60,適中,適中,適中
2012/6/26,0,60,空振り,空振り,空振り
2012/6/27,1,60,適中,適中,適中
2012/6/28,0,40,空振り,適中,適中
2012/6/29,0,40,空振り,適中,適中
2012/6/30,0,40,空振り,適中,適中
2012/7/1,1,40,適中,見逃し,見逃し
2012/7/2,1,60,適中,適中,適中
2012/7/3,1,60,適中,適中,適中
2012/7/4,1,70,適中,適中,適中
2012/7/5,1,40,適中,見逃し,見逃し
2012/7/6,0,40,空振り,適中,適中
2012/7/7,0,40,空振り,適中,適中
2012/7/8,1,50,適中,適中,見逃し
2012/7/9,0,30,適中,適中,適中
2012/7/10,0,60,空振り,空振り,空振り
2012/7/11,1,50,適中,適中,見逃し
2012/7/12,0,40,空振り,適中,適中
2012/7/13,0,40,空振り,適中,適中
2012/7/14,0,50,空振り,空振り,適中
2012/7/15,1,60,適中,適中,適中
2012/7/16,1,60,適中,適中,適中
2012/7/17,0,50,空振り,空振り,適中
2012/7/18,1,60,適中,適中,適中
2012/7/19,0,60,空振り,空振り,空振り
2012/7/20,0,50,空振り,空振り,適中
2012/7/21,1,60,適中,適中,適中
2012/7/22,0,50,空振り,空振り,適中
2012/7/23,1,50,適中,適中,見逃し
2012/7/24,1,60,適中,適中,適中
2012/7/25,0,40,空振り,適中,適中
2012/7/26,1,50,適中,適中,見逃し
2012/7/27,0,50,空振り,空振り,適中
2012/7/28,0,40,空振り,適中,適中
2012/7/29,0,50,空振り,空振り,適中
2012/7/30,1,50,適中,適中,見逃し
2012/7/31,0,50,空振り,空振り,適中
2012/8/1,0,40,空振り,適中,空振り
2012/8/2,1,50,適中,適中,見逃し
2012/8/3,0,60,空振り,空振り,空振り
2012/8/4,0,50,空振り,空振り,適中
2012/8/5,0,40,空振り,適中,適中
2012/8/6,0,40,空振り,適中,適中
2012/8/7,0,60,空振り,空振り,空振り
2012/8/8,1,50,適中,適中,見逃し
2012/8/9,0,60,空振り,空振り,空振り
2012/8/10,0,40,空振り,適中,適中
2012/8/11,0,50,空振り,空振り,適中
2012/8/12,1,60,適中,適中,適中
2012/8/13,1,40,適中,見逃し,見逃し
2012/8/14,0,50,空振り,空振り,空振り
2012/8/15,0,60,空振り,空振り,空振り
2012/8/16,0,30,適中,適中,適中
2012/8/17,1,50,適中,適中,見逃し
2012/8/18,0,50,空振り,空振り,空振り
2012/8/19,1,60,適中,適中,適中
2012/8/20,0,50,空振り,空振り,適中
2012/8/21,1,50,適中,適中,見逃し
2012/8/22,1,60,適中,適中,適中
2012/8/23,0,40,空振り,適中,適中
2012/8/24,0,40,空振り,適中,適中
2012/8/25,1,50,適中,適中,見逃し
2012/8/26,1,60,適中,適中,適中
2012/8/27,0,50,空振り,空振り,空振り
2012/8/28,1,60,適中,適中,適中
2012/8/29,1,60,適中,適中,適中
2012/8/30,0,40,空振り,適中,適中
2012/8/31,0,50,空振り,空振り,適中
2012/9/1,1,50,適中,適中,見逃し
2012/9/2,1,70,適中,適中,適中
2012/9/3,1,60,適中,適中,適中
2012/9/4,0,50,空振り,空振り,適中
2012/9/5,0,50,空振り,空振り,適中
2012/9/6,1,40,適中,見逃し,見逃し
2012/9/7,1,50,適中,適中,見逃し
2012/9/8,0,50,空振り,空振り,適中
2012/9/9,0,50,空振り,空振り,適中
2012/9/10,,30,,,
2012/9/11,0,40,空振り,適中,適中
2012/9/12,0,30,空振り,適中,適中
2012/9/13,1,50,適中,適中,見逃し
2012/9/14,1,60,適中,適中,適中
2012/9/15,0,60,空振り,空振り,空振り
2012/9/16,0,50,空振り,空振り,適中
2012/9/17,1,50,適中,適中,見逃し
2012/9/18,1,50,適中,適中,見逃し
2012/9/19,1,40,適中,見逃し,見逃し
2012/9/20,0,50,空振り,空振り,適中
2012/9/21,1,60,適中,適中,適中
2012/9/22,1,50,適中,適中,見逃し
2012/9/23,0,60,空振り,空振り,空振り
2012/9/24,0,40,空振り,適中,適中
2012/9/25,,40,,,
2012/9/26,1,60,適中,適中,適中
2012/9/27,0,50,空振り,空振り,空振り
2012/9/28,0,40,空振り,適中,適中
2012/9/29,0,40,空振り,適中,適中
2012/9/30,,50,,,
2012/10/1,,30,,,
2012/10/2,1,60,適中,適中,適中
2012/10/3,1,60,適中,適中,適中
2012/10/4,0,60,空振り,空振り,空振り
2012/10/5,1,60,適中,適中,適中
2012/10/6,0,50,空振り,空振り,空振り
2012/10/7,1,60,適中,適中,適中
2012/10/8,1,50,適中,適中,見逃し
2012/10/9,1,60,適中,適中,適中
