２０１３年,,２０１３年,,,
日付,出現,確率,閾値40,閾値50,閾値60
2013/5/25,1,60,適中,適中,適中
2013/5/26,1,60,適中,適中,適中
2013/5/27,0,60,空振り,空振り,空振り
2013/5/28,0,40,空振り,適中,適中
2013/5/29,1,40,適中,見逃し,見逃し
2013/5/30,1,30,見逃し,見逃し,見逃し
2013/5/31,1,60,適中,適中,適中
2013/6/1,0,40,空振り,適中,適中
2013/6/2,1,60,適中,適中,適中
2013/6/3,0,60,空振り,空振り,空振り
2013/6/4,1,60,適中,適中,適中
2013/6/5,1,60,適中,適中,適中
2013/6/6,1,60,適中,適中,適中
2013/6/7,1,60,適中,適中,適中
2013/6/8,1,60,適中,適中,適中
2013/6/9,1,70,適中,適中,適中
2013/6/10,0,60,空振り,空振り,空振り
2013/6/11,1,40,適中,見逃し,見逃し
2013/6/12,1,70,適中,適中,適中
2013/6/13,1,60,適中,適中,適中
2013/6/14,1,40,適中,見逃し,見逃し
2013/6/15,0,40,空振り,適中,適中
2013/6/16,1,60,適中,適中,適中
2013/6/17,1,40,適中,見逃し,見逃し
2013/6/18,0,30,適中,適中,適中
2013/6/19,0,40,空振り,適中,適中
2013/6/20,0,40,空振り,適中,適中
2013/6/21,1,40,適中,見逃し,見逃し
2013/6/22,0,60,空振り,空振り,空振り
2013/6/23,1,60,適中,適中,適中
2013/6/24,0,60,空振り,空振り,空振り
2013/6/25,0,60,空振り,空振り,空振り
2013/6/26,1,60,適中,適中,適中
2013/6/27,,,,,
2013/6/28,1,60,適中,適中,適中
2013/6/29,1,70,適中,適中,適中
2013/6/30,1,60,適中,適中,適中
2013/7/1,1,60,適中,適中,適中
2013/7/2,1,60,適中,適中,適中
2013/7/3,0,60,空振り,空振り,空振り
2013/7/4,0,30,適中,適中,適中
2013/7/5,1,60,適中,適中,適中
2013/7/6,1,60,適中,適中,適中
2013/7/7,0,60,空振り,空振り,空振り
2013/7/8,1,40,適中,見逃し,見逃し
2013/7/9,0,40,空振り,適中,適中
2013/7/10,0,30,適中,適中,適中
2013/7/11,1,60,適中,適中,適中
2013/7/12,1,40,適中,見逃し,見逃し
2013/7/13,0,60,空振り,空振り,空振り
2013/7/14,1,60,適中,適中,適中
2013/7/15,1,60,適中,適中,適中
2013/7/16,1,60,適中,適中,適中
2013/7/17,0,60,空振り,空振り,空振り
2013/7/18,0,60,空振り,空振り,空振り
2013/7/19,1,60,適中,適中,適中
2013/7/20,1,60,適中,適中,適中
2013/7/21,0,70,空振り,空振り,空振り
2013/7/22,1,40,適中,見逃し,見逃し
2013/7/23,1,60,適中,適中,適中
2013/7/24,1,60,適中,適中,適中
2013/7/25,0,60,空振り,空振り,空振り
2013/7/26,0,40,空振り,適中,適中
2013/7/27,0,40,空振り,適中,適中
2013/7/28,0,40,空振り,適中,適中
2013/7/29,0,40,空振り,適中,適中
2013/7/30,0,40,空振り,適中,適中
2013/7/31,1,40,適中,見逃し,見逃し
2013/8/1,1,40,適中,見逃し,見逃し
2013/8/2,1,60,適中,適中,適中
2013/8/3,0,60,空振り,空振り,空振り
2013/8/4,0,60,空振り,空振り,空振り
2013/8/5,1,60,適中,適中,適中
2013/8/6,1,40,適中,見逃し,見逃し
2013/8/7,1,40,適中,見逃し,見逃し
2013/8/8,1,50,適中,適中,見逃し
2013/8/9,1,60,適中,適中,適中
2013/8/10,0,40,空振り,適中,適中
2013/8/11,1,60,適中,適中,適中
2013/8/12,0,40,空振り,適中,適中
2013/8/13,1,40,適中,見逃し,見逃し
2013/8/14,1,60,適中,適中,適中
2013/8/15,0,40,空振り,適中,適中
2013/8/16,0,40,空振り,適中,適中
2013/8/17,0,40,空振り,適中,適中
2013/8/18,0,30,適中,適中,適中
2013/8/19,0,30,適中,適中,適中
2013/8/20,1,40,適中,見逃し,見逃し
2013/8/21,1,40,適中,見逃し,見逃し
2013/8/22,1,40,適中,見逃し,見逃し
2013/8/23,1,40,適中,見逃し,見逃し
2013/8/24,1,60,適中,適中,適中
2013/8/25,1,40,適中,見逃し,見逃し
2013/8/26,0,60,空振り,空振り,空振り
2013/8/27,1,60,適中,適中,適中
2013/8/28,0,30,適中,適中,適中
2013/8/29,0,40,空振り,適中,適中
2013/8/30,0,30,適中,適中,適中
2013/8/31,1,40,適中,見逃し,見逃し
2013/9/1,,30,,,
2013/9/2,0,40,空振り,適中,適中
2013/9/3,1,40,適中,見逃し,見逃し
2013/9/4,,30,,,
2013/9/5,,40,,,
2013/9/6,0,60,空振り,空振り,空振り
2013/9/7,1,60,適中,適中,適中
2013/9/8,1,60,適中,適中,適中
2013/9/9,1,50,適中,適中,見逃し
2013/9/10,1,60,適中,適中,適中
2013/9/11,1,60,適中,適中,適中
2013/9/12,,50,,,
2013/9/13,1,60,適中,適中,適中
2013/9/14,0,30,適中,適中,適中
2013/9/15,0,40,空振り,適中,適中
2013/9/16,,30,,,
2013/9/17,0,60,空振り,空振り,空振り
2013/9/18,0,60,空振り,空振り,空振り
2013/9/19,1,50,適中,適中,見逃し
2013/9/20,0,60,空振り,空振り,空振り
2013/9/21,0,40,空振り,適中,適中
2013/9/22,0,50,空振り,空振り,適中
2013/9/23,0,60,空振り,空振り,空振り
2013/9/24,,50,,,
2013/9/25,,30,,,
2013/9/26,0,40,空振り,適中,適中
2013/9/27,0,40,空振り,適中,適中
2013/9/28,1,40,適中,見逃し,見逃し
2013/9/29,0,60,空振り,空振り,空振り
2013/9/30,0,50,空振り,空振り,適中
2013/10/1,0,40,空振り,適中,適中
2013/10/2,1,50,適中,適中,見逃し
2013/10/3,0,40,空振り,適中,適中
2013/10/4,,30,,,
2013/10/5,0,50,空振り,空振り,適中
2013/10/6,0,40,空振り,適中,適中
2013/10/7,1,50,適中,適中,見逃し
2013/10/8,1,40,適中,見逃し,見逃し
2013/10/9,0,40,空振り,適中,適中
2013/10/10,1,50,適中,適中,見逃し
2013/10/11,1,50,適中,適中,見逃し
2013/10/12,,30,,,
2013/10/13,,40,,,
2013/10/14,1,50,適中,適中,見逃し
2013/10/15,,30,,,
2013/10/16,,30,,,
2013/10/17,,0,,,
2013/10/18,,0,,,
2013/10/19,1,40,適中,見逃し,見逃し
2013/10/20,0,50,空振り,空振り,適中
